,site_code,site_name,Data,continent,country,habitat.type,precip,arid
1,allmendb.ch,Allmend Brachy,"Biomass, cover",Europe,CH,Grassland,957,1.521999955
2,allmendo.ch,Allmend Ovina,"Biomass, cover",Europe,CH,Grassland,957,1.521999955
3,amtvik.se,Amtvik,"No data, waiting to submit their manuscripts",Europe,SE,,NA,NA
4,antelope.us,Antelope,"Biomass, cover",North America,US,Grassland,215,NA
5,ayora.es,Ayora Experimental Station,"Biomass, cover",Europe,ES,Shrubland,381.3,0.458999991
6,baddrt.de,Bad Drought,"Biomass, cover",Europe,DE,Grassland,488.6,0.703000009
7,bamboo.cn,Bamboo drought China,"Biomass, cover",Asia,CN,Forest,1141.7,1.10800004
8,bange.cn,GCN-Bange,"Biomass, cover",Asia,CN,Grassland,428,0.395999998
9,bayrdrt.de,Bayreuth_DroughtNet,"Biomass, cover",Europe,DE,Grassland,724,0.990999997
10,bfl.us,BFL,"Biomass, cover",North America,US,Grassland,860.5334792,NA
11,biddulph.ca,Biddulph,"Biomass, cover",North America,CA,Grassland,353.7,0.416000009
12,bivensarm.us,Bivens Arm,"Biomass, cover",North America,US,Forest understory,1288,0.944000006
13,bldrdrt.us,Boulder Drought,"Biomass, cover",North America,US,Grassland,487.7,0.351000011
14,brandjberg.dk,Brandbjerg,"Biomass, cover",Europe,DK,Shrubland,742,0.986000001
15,brokenh.au,Broken Hill,"Biomass, cover",Australia,AU,Grassland,283,0.143999994
16,brookdale.ca,Brookdale,"Biomass, cover",North America,CA,Grassland,474.2,0.601000011
17,buoya.no,Store Buoya,"Biomass, cover",Europe,NO,Shrubland,1766,NA
18,capmcd.us,McDowell Mountain,"Biomass, cover",North America,US,Shrubland,204,0.141000003
19,capwhite.us,White Tank Mountain,"Biomass, cover",North America,US,Shrubland,204,0.085000001
20,cdpt_drt.us,Cedar Point,"Biomass, cover",North America,US,Grassland,473.964,NA
21,cedarsav.us,Cedar Creek Savanna,"Biomass, cover",North America,US,Grassland,682,0.746999979
22,cedartrait.us,Cedar Creek Trait ,"Biomass, cover",North America,US,Grassland,682,0.746999979
23,cerrillos.ar,Los Cerrillos,"Biomass, cover",South America,AR,Shrubland,390,0.312000006
24,chacra.ar,Chacra Experimental Patagones,"Biomass, cover",South America,AR,Shrubland,400,0.268999994
25,chang.cn,Changling,"Biomass, cover",Asia,CN,Grassland,444.9,NA
26,charleville.au,Charleville,"Biomass, cover",Australia,AU,Grassland,451,0.225999996
27,chilcasdrt.ar,Las Chilcas Drt,"Biomass, cover",South America,AR,Grassland,950,0.848999977
28,ciempoz.es,Ciempozuelos,"Biomass, cover",Europe,ES,Shrubland,363.6,0.337000012
29,cmss.us,CMSS,"Biomass, cover",North America,US,Forest understory,690,0.244000003
30,cobar.au,Cobar,"Biomass, cover",Australia,AU,Grassland,354,0.243000001
31,cowidrt.ca,Cowichan Drt,"Biomass, cover",North America,CA,Grassland,1134,1.718999982
32,credoj.au,CredoJ,"Biomass, cover",Australia,AU,Shrubland,259.6,NA
33,credom.au,CredoM,"Biomass, cover",Australia,AU,Shrubland,259.6,NA
34,dang.cn,GCN-Dangxiong,"Biomass, cover",Asia,CN,Grassland,419,0.426999986
35,ebro.es,Middle Ebro Valley,"Biomass, cover",Europe,ES,Shrubland,385,0.338
36,eea.br,EEA,"Biomass, cover",South America,BR,Grassland,1440,1.238999963
37,elizwood.us,Elizabeth Woods,"Biomass, cover",North America,US,Forest,1219,NA
38,elvadrt.ee,EE Elva,"Biomass, cover",Europe,EE,Grassland,680,NA
39,esw.ca,ESW,"Biomass, cover",North America,CA,Grassland,1011.5,1.264000058
40,ethadb.au,Ethabuka_DNB,"Biomass, cover",Australia,AU,Grassland,193,0.085000001
41,ethadn.au,Ethabuka_DNU,"Biomass, cover",Australia,AU,Grassland,193,0.085000001
42,falls.au,Falls Creek,"Biomass, cover",Australia,AU,Grassland,1239,1.720000029
43,freiburg.de,Freiburg,"Biomass, cover",Europe,DE,Grassland,934,1.17900002
44,garraf.es,Garraf,"Biomass, cover",Europe,ES,Shrubland,548.4,0.587000012
45,gigante.pa,Gigante,"Biomass, cover",North America,PA,Forest,2332.148,NA
46,gmgranite.us,Granite Cover,"Biomass, cover",North America,US,Shrubland,220,0.107000001
47,gmmolar.us,Molar Junction,"Biomass, cover",North America,US,Shrubland,220,0.107000001
48,guaribas.br,Guaribas,"Biomass, cover",South America,BR,Grassland,1908,0.976999998
49,haibei.cn,GCN-Haibei,"Biomass, cover",Asia,CN,Grassland,469,0.541000009
50,hard.us,Hardware Ranch,"Biomass, cover",North America,US,Shrubland,462,0.400999993
51,haver.no,Haveroya,"Biomass, cover",Europe,NO,Shrubland,1341,2.878999949
52,hoelstein.ch,Hoelstein,No data,Europe,CH,Forest,1009,NA
53,hoide.de,HOIDE,"Biomass, cover",Europe,DE,Shrubland,541.15,NA
54,hong.cn,GCN-Hongyuan,"Biomass, cover",Asia,CN,Grassland,703,0.833000004
