"","X","site_code","precip","habitat.type.x","mean_control_mass","Eco.Extr","temp"
"1",1,"allmendb.ch",957,"Grassland",420.6005315,"Grassland_NotExtreme",8.9
"2",2,"allmendo.ch",957,"Grassland",181.895915,"Grassland_NotExtreme",8.9
"3",3,"antelope.us",215,"Grassland",147.2522394,"Grassland_NotExtreme",12.5
"4",4,"ayora.es",381.3,"Shrubland",447.8466667,"Shrubland_NotExtreme",14.6
"5",5,"baddrt.de",488.6,"Grassland",259.762,"Grassland_Extr",8.9
"6",6,"bange.cn",428,"Grassland",41.89666667,"Grassland_NotExtreme",-0.258333437
"7",7,"bayrdrt.de",724,"Grassland",337.7054,"Grassland_Extr",8.2
"8",8,"bfl.us",860.5334792,"Grassland",313.6666667,"Grassland_Extr",20.3755787
"9",9,"biddulph.ca",353.7,"Grassland",182.6666667,"Grassland_NotExtreme",2.6
"10",10,"bldrdrt.us",487.7,"Grassland",198.1,"Grassland_Extr",10.7
"11",11,"brokenh.au",283,"Grassland",40.32266667,"Grassland_Extr",18.3
"12",12,"brookdale.ca",474.2,"Grassland",411.03,"Grassland_Extr",2.2
"13",13,"capmcd.us",204,"Shrubland",87.86377309,"Shrubland_NotExtreme",24
"14",14,"capwhite.us",204,"Shrubland",77.65665261,"Shrubland_NotExtreme",24
"15",15,"cedarsav.us",682,"Grassland",259.34,"Grassland_NotExtreme",7.5
"16",16,"cedartrait.us",682,"Grassland",276.64,"Grassland_NotExtreme",7.5
"17",17,"cerrillos.ar",390,"Shrubland",374.3333333,"Shrubland_Extr",21
"18",18,"chacra.ar",400,"Shrubland",87.75,"Shrubland_NotExtreme",14.4
"19",19,"chang.cn",444.9,"Grassland",231.075,"Grassland_NotExtreme",6.1
"20",20,"charleville.au",451,"Grassland",35.2066666,"Grassland_Extr",21
"21",21,"chilcasdrt.ar",950,"Grassland",739.0166667,"Grassland_Extr",16
"22",22,"ciempoz.es",363.6,"Shrubland",158.1728071,"Shrubland_Extr",15.20729167
"23",23,"cobar.au",354,"Grassland",47.83533333,"Grassland_Extr",18.9
"24",24,"cowidrt.ca",1134,"Grassland",184.116,"Grassland_NotExtreme",10.21
"25",25,"credoj.au",259.6,"Shrubland",146.7737,"Shrubland_NotExtreme",18.75
