"","site_code","Extreme","mean_drt2","n","sd","se","drtLowerCI","drtUpperCI"
"1","allmendb.ch","NotExtreme",-0.133607802,3,0,0,-0.133607802,-0.133607802
"2","allmendo.ch","NotExtreme",-0.141813654,3,0,0,-0.141813654,-0.141813654
"3","antelope.us","NotExtreme",0.105601875,8,0,0,0.105601875,0.105601875
"4","ayora.es","NotExtreme",-0.601799502,3,0,0,-0.601799502,-0.601799502
"5","baddrt.de","Extr",-0.435161686,5,0,0,-0.435161686,-0.435161686
"6","bange.cn","NotExtreme",-0.299595327,6,0,0,-0.299595327,-0.299595327
"7","bayrdrt.de","Extr",-0.423453039,5,0,0,-0.423453039,-0.423453039
"8","bfl.us","Extr",-0.460509078,3,0,0,-0.460509078,-0.460509078
"9","biddulph.ca","NotExtreme",-0.254170201,3,0,0,-0.254170201,-0.254170201
"10","bldrdrt.us","Extr",-0.400165101,6,0,0,-0.400165101,-0.400165101
"11","brokenh.au","Extr",-0.847632509,2,0,0,-0.847632509,-0.847632509
"12","brookdale.ca","Extr",-0.50041496,5,0,0,-0.50041496,-0.50041496
"13","capmcd.us","NotExtreme",-0.559333333,7,0,0,-0.559333333,-0.559333333
"14","capwhite.us","NotExtreme",-0.4255,7,0,0,-0.4255,-0.4255
"15","cedarsav.us","NotExtreme",-0.010141144,5,0,0,-0.010141144,-0.010141144
"16","cedartrait.us","NotExtreme",-0.163099795,5,0,0,-0.163099795,-0.163099795
"17","cerrillos.ar","Extr",-0.548221671,3,0,0,-0.548221671,-0.548221671
"18","chacra.ar","NotExtreme",-0.118329023,3,0,0,-0.118329023,-0.118329023
"19","chang.cn","NotExtreme",-0.508338953,4,0,0,-0.508338953,-0.508338953
"20","charleville.au","Extr",-0.872261641,3,0,0,-0.872261641,-0.872261641
"21","chilcasdrt.ar","Extr",-0.566828523,3,0,0,-0.566828523,-0.566828523
"22","ciempoz.es","Extr",-0.392959296,7,0,0,-0.392959296,-0.392959296
"23","cobar.au","Extr",-0.757768362,3,0,0,-0.757768362,-0.757768362
"24","cowidrt.ca","NotExtreme",-0.450146972,5,0,0,-0.450146972,-0.450146972
"25","credoj.au","NotExtreme",-0.474289947,5,0,0,-0.474289947,-0.474289947
"26","credom.au","NotExtreme",-0.474289947,5,0,0,-0.474289947,-0.474289947
"27","dang.cn","Extr",-0.469421389,5,0,0,-0.469421389,-0.469421389
"28","eea.br","NotExtreme",-0.081805556,5,0,0,-0.081805556,-0.081805556
"29","elvadrt.ee","Extr",-0.661241176,3,0,0,-0.661241176,-0.661241176
"30","esw.ca","Extr",-0.222597654,3,0,0,-0.222597654,-0.222597654
"31","falls.au","NotExtreme",-0.351805317,3,0,0,-0.351805317,-0.351805317
"32","freiburg.de","NotExtreme",-0.154726981,4,0,0,-0.154726981,-0.154726981
"33","gmgranite.us","NotExtreme",-0.649568182,7,0,0,-0.649568182,-0.649568182
"34","gmmolar.us","NotExtreme",-0.649568182,7,0,0,-0.649568182,-0.649568182
"35","guaribas.br","Extr",-0.597718646,3,0,0,-0.597718646,-0.597718646
"36","haibei.cn","NotExtreme",-0.203291651,3,0,0,-0.203291651,-0.203291651
"37","hard.us","NotExtreme",-0.054521645,3,0,0,-0.054521645,-0.054521645
"38","hoide.de","NotExtreme",-0.33142382,2,0,0,-0.33142382,-0.33142382
"39","hong.cn","NotExtreme",-0.086201991,4,0,0,-0.086201991,-0.086201991
"40","hulun.cn","Extr",-0.413250662,6,0,0,-0.413250662,-0.413250662
"41","hyide.de","NotExtreme",-0.33142382,3,0,0,-0.33142382,-0.33142382
"42","jorndrt.us","Extr",-0.833636514,3,0,0,-0.833636514,-0.833636514
"43","jrnchi.us","NotExtreme",-0.615600973,10,0,0,-0.615600973,-0.615600973
"44","kernb.ca","NotExtreme",-0.252982754,3,0,0,-0.252982754,-0.252982754
"45","kernnu.ca","NotExtreme",-0.252982754,3,0,0,-0.252982754,-0.252982754
"46","kinsella.ca","NotExtreme",-0.216694565,5,0,0,-0.216694565,-0.216694565
"47","kiskun.hu","NotExtreme",0.057114094,5,0,0,0.057114094,0.057114094
"48","konzadrt.us","NotExtreme",-0.285542169,5,0,0,-0.285542169,-0.285542169
"49","lygraint.no","NotExtreme",0.040868397,3,0,0,0.040868397,0.040868397
"50","lygraold.no","NotExtreme",0.040868397,3,0,0,0.040868397,0.040868397
"51","lygrayng.no","NotExtreme",0.040868397,3,0,0,0.040868397,0.040868397
"52","marcdrt.ar","NotExtreme",0.033570428,4,0,0,0.033570428,0.033570428
"53","matador.ca","NotExtreme",-0.29874442,3,0,0,-0.29874442,-0.29874442
"54","matta.il","Extr",-0.664503784,5,0,0,-0.664503784,-0.664503784
"55","mattheis.ca","Extr",-0.402494607,5,0,0,-0.402494607,-0.402494607
"56","milparinka.au","NotExtreme",-0.584010417,3,0,0,-0.584010417,-0.584010417
"57","morient.ar","NotExtreme",-0.348355066,2,0,0,-0.348355066,-0.348355066
"58","naposta.ar","NotExtreme",-0.346126582,3,0,0,-0.346126582,-0.346126582
"59","naqu.cn","NotExtreme",-0.208456784,6,0,0,-0.208456784,-0.208456784
"60","nnss.us","NotExtreme",-0.474786145,10,0,0,-0.474786145,-0.474786145
"61","nplatte.us","Extr",-0.453388492,8,0,0,-0.453388492,-0.453388492
"62","nyngan.au","Extr",-0.825714286,3,0,0,-0.825714286,-0.825714286
"63","octc.us","Extr",-0.426006042,10,0,0,-0.426006042,-0.426006042
"64","oklah.us","NotExtreme",-0.057959778,3,0,0,-0.057959778,-0.057959778
"65","oreaa.us","Extr",-0.447799061,5,0,0,-0.447799061,-0.447799061
"66","oreac.us","Extr",-0.447799061,5,0,0,-0.447799061,-0.447799061
"67","paike.ar","NotExtreme",-0.531082082,3,0,0,-0.531082082,-0.531082082
"68","passogavia.it","Extr",-0.480719995,5,0,0,-0.480719995,-0.480719995
"69","pineta.es","Extr",-0.539314567,6,0,0,-0.539314567,-0.539314567
"70","plattev.us","NotExtreme",-0.458142679,3,0,0,-0.458142679,-0.458142679
"71","pneburn.br","Extr",-0.385862375,6,0,0,-0.385862375,-0.385862375
"72","pneunburn.br","Extr",-0.385862375,6,0,0,-0.385862375,-0.385862375
"73","pozos.ar","NotExtreme",-0.424180328,3,0,0,-0.424180328,-0.424180328
"74","purdue.us","NotExtreme",-0.057313684,8,0,0,-0.057313684,-0.057313684
"75","quilpie.au","Extr",-0.866920904,3,0,0,-0.866920904,-0.866920904
"76","rhijn.nl","Extr",-0.599695829,3,0,0,-0.599695829,-0.599695829
"77","riomayo.ar","Extr",-0.741853782,3,0,0,-0.741853782,-0.741853782
"78","sclaudio.ar","NotExtreme",-0.128977929,4,0,0,-0.128977929,-0.128977929
"79","scruzh.us","NotExtreme",-0.305779866,5,0,0,-0.305779866,-0.305779866
"80","scruzl.us","NotExtreme",-0.460080537,5,0,0,-0.460080537,-0.460080537
"81","scruzm.us","NotExtreme",-0.385261745,5,0,0,-0.385261745,-0.385261745
"82","sedgwick.us","Extr",-0.648421053,5,0,0,-0.648421053,-0.648421053
"83","sevblack.us","Extr",-0.658976324,7,0,0,-0.658976324,-0.658976324
"84","sevblue.us","Extr",-0.693866667,7,0,0,-0.693866667,-0.693866667
"85","sevmixed.us","Extr",-0.670049456,7,0,0,-0.670049456,-0.670049456
"86","sgsdrt.us","Extr",-0.681636364,20,0,0,-0.681636364,-0.681636364
"87","skotsvar.no","Extr",-0.773907131,6,0,0,-0.773907131,-0.773907131
"88","slp.us","Extr",-0.492110509,3,0,0,-0.492110509,-0.492110509
"89","sonora.us","Extr",-0.626075682,8,0,0,-0.626075682,-0.626075682
"90","spvdrt.ar","NotExtreme",-0.157367962,3,0,0,-0.157367962,-0.157367962
"91","syferkuil.za","Extr",-0.489174477,4,0,0,-0.489174477,-0.489174477
"92","torla.es","NotExtreme",0.110967059,6,0,0,0.110967059,0.110967059
"93","ukulingadrt.za","Extr",-0.50505187,3,0,0,-0.50505187,-0.50505187
"94","urat.cn","NotExtreme",-0.273014345,6,0,0,-0.273014345,-0.273014345
"95","validate.fr","Extr",-0.713458228,5,0,0,-0.713458228,-0.713458228
"96","wytham.uk","Extr",-0.357358795,5,0,0,-0.357358795,-0.357358795
"97","xilin.cn","Extr",-0.497928994,6,0,0,-0.497928994,-0.497928994
"98","yanchi.cn","NotExtreme",-0.187699189,6,0,0,-0.187699189,-0.187699189
"99","yarradrt.au","NotExtreme",-0.1740125,4,0,0,-0.1740125,-0.1740125
"100","youyu.cn","NotExtreme",-0.141082396,6,0,0,-0.141082396,-0.141082396
