"","site_code","habitat.type","mean_DS3"
"1","allmendb.ch","Grassland",-0.0276316912086024
"2","allmendo.ch","Grassland",0.317090164195778
"3","antelope.us","Grassland",-0.491130972228882
"4","ayora.es","Shrubland",0.433346074610609
"5","baddrt.de","Grassland",-0.178625407320712
"6","bange.cn","Grassland",0.137055889271386
"7","bayrdrt.de","Grassland",-0.250222341105967
"8","bfl.us","Grassland",-0.0578519368663638
"9","biddulph.ca","Grassland",-0.761396705134586
"10","bldrdrt.us","Grassland",-0.431409307809037
"11","brokenh.au","Grassland",-1.66526288146885
"12","brookdale.ca","Grassland",-0.0133498087006588
"13","capmcd.us","Shrubland",0.0810722909494108
"14","capwhite.us","Shrubland",-1.4400997474864
"15","cedarsav.us","Grassland",-0.34270678008246
"16","cedartrait.us","Grassland",-0.447648265944184
"17","cerrillos.ar","Shrubland",-0.576552336199055
"18","chacra.ar","Shrubland",-0.107679126474653
"19","chang.cn","Grassland",-0.828952533462783
"20","charleville.au","Grassland",-0.231049059239858
"21","chilcasdrt.ar","Grassland",-0.313814934791096
"22","ciempoz.es","Shrubland",0.206551601603776
"23","cobar.au","Grassland",-0.847874579618342
"24","cowidrt.ca","Grassland",-0.374509427100429
"25","credoj.au","Shrubland",-0.447182182771994
"26","credom.au","Shrubland",-0.306307877513329
"27","dang.cn","Grassland",0.0754942729069675
"28","eea.br","Grassland",-0.116919048673315
"29","elvadrt.ee","Grassland",-0.347527951552126
"30","esw.ca","Grassland",-0.225462043282954
"31","falls.au","Grassland",0.0500115397510614
"32","freiburg.de","Grassland",-0.240812201407546
"33","gmgranite.us","Shrubland",0.383108679817934
"34","gmmolar.us","Shrubland",0.314278227304241
"35","guaribas.br","Grassland",-0.683814267235793
"36","haibei.cn","Grassland",-0.260727452882324
"37","hard.us","Shrubland",0.109422914793368
"38","hoide.de","Shrubland",-0.620506694031377
"39","hong.cn","Grassland",-0.0253529320037207
"40","hulun.cn","Grassland",-0.547846007229056
"41","hyide.de","Shrubland",-1.21089109867077
"42","jorndrt.us","Grassland",-0.106766736615295
"43","jrnchi.us","Shrubland",-0.0724269379063446
"44","kernb.ca","Grassland",-0.0257097156838612
"45","kernnu.ca","Grassland",0.250364888322673
"46","kinsella.ca","Grassland",-0.276595362204996
"47","kiskun.hu","Grassland",-0.0891619874029065
"48","konzadrt.us","Grassland",-0.174706463849282
"49","lygraint.no","Shrubland",0.57810357940956
"50","lygraold.no","Shrubland",-0.313681301347556
"51","lygrayng.no","Shrubland",0.373408781087951
"52","marcdrt.ar","Grassland",-0.102223206440232
"53","matador.ca","Grassland",-0.24634619448605
"54","matta.il","Shrubland",-0.478499744181877
"55","mattheis.ca","Grassland",-0.121849505674352
"56","milparinka.au","Grassland",-0.00315142171318681
"57","morient.ar","Shrubland",-0.64441352680626
"58","naposta.ar","Grassland",-1.94944437319013
"59","naqu.cn","Grassland",-0.222872510104915
"60","nnss.us","Shrubland",-0.787529776114694
"61","nplatte.us","Shrubland",0.00246673808613271
"62","nyngan.au","Grassland",-0.531838120597538
"63","octc.us","Shrubland",-0.189615362605795
"64","oklah.us","Grassland",-0.233695433509328
"65","oreaa.us","Shrubland",-0.327067705748503
"66","oreac.us","Shrubland",-0.318585526558987
"67","paike.ar","Grassland",-0.311608703850567
"68","passogavia.it","Grassland",0.0598988503397917
"69","pineta.es","Grassland",-0.462970647879084
"70","plattev.us","Grassland",-0.932484313628587
"71","pneburn.br","Grassland",-0.0503775569672255
"72","pneunburn.br","Grassland",-1.27215565173813
"73","pozos.ar","Grassland",0.655701405464671
"74","purdue.us","Grassland",-0.380390307394597
"75","quilpie.au","Grassland",-0.568226884813694
"76","rhijn.nl","Grassland",-0.267797929057011
"77","riomayo.ar","Shrubland",-0.353256288639361
"78","sclaudio.ar","Grassland",-0.469588076721162
"79","scruzh.us","Grassland",0.194079649185303
"80","scruzl.us","Grassland",0.0239579534021626
"81","scruzm.us","Grassland",-0.302744962353789
"82","sedgwick.us","Grassland",-0.491675199485644
"83","sevblack.us","Grassland",-1.08069682468498
"84","sevblue.us","Grassland",-0.244453604899201
"85","sevmixed.us","Grassland",-0.776311124728721
"86","sgsdrt.us","Grassland",-2.1235646773394
"87","skotsvar.no","Shrubland",-0.0279375741365924
"88","slp.us","Grassland",-0.289681628825001
"89","sonora.us","Grassland",-0.488935202959265
"90","spvdrt.ar","Grassland",0.222035671965926
"91","syferkuil.za","Grassland",-0.185346467669858
"92","torla.es","Grassland",0.185733134479238
"93","ukulingadrt.za","Grassland",-0.170184156536031
"94","urat.cn","Grassland",-1.60517458942105
"95","validate.fr","Grassland",-0.633090043159137
"96","wytham.uk","Grassland",-0.7632055377377
"97","xilin.cn","Grassland",-0.401416662450723
"98","yanchi.cn","Grassland",-0.241137483284276
"99","yarradrt.au","Grassland",-0.159719531714463
"100","youyu.cn","Grassland",0.12280851504321
