"","site_code","Eco.Extr","Extreme","mean_DS3","n","sd","se","LowerCI","UpperCI","Sig","logAI"
"1","allmendb.ch","Grassland_NotExtreme","NotExtreme",-0.0276316912086024,3,0.0795230061407579,0.0459126290021349,-0.225177789714612,0.169914407297407,TRUE,0.165429689123736
"2","allmendo.ch","Grassland_NotExtreme","NotExtreme",0.317090164195778,3,0.202162160432694,0.116718377745772,-0.185108482423997,0.819288810815553,TRUE,0.165429689123736
"3","antelope.us","Grassland_NotExtreme","NotExtreme",-0.491130972228882,8,0.146380693706578,0.0517533905773563,-0.613508294690252,-0.368753649767512,FALSE,-1.60694103223551
"4","ayora.es","Shrubland_NotExtreme","NotExtreme",0.433346074610609,3,0.105377064115309,0.0608394763333862,0.171574935688237,0.69511721353298,FALSE,-0.714370817011572
"5","baddrt.de","Grassland_Extr","Extr",-0.178625407320712,5,0.450331703614295,0.20139446034097,-0.73778607094835,0.380535256306926,TRUE,-0.406165353222558
"6","bange.cn","Grassland_NotExtreme","NotExtreme",0.137055889271386,6,0.325616652100018,0.132932441566399,-0.204657830385984,0.478769608928756,TRUE,-0.807884858030369
"7","bayrdrt.de","Grassland_Extr","Extr",-0.250222341105967,5,0.226038596181298,0.101087533320001,-0.530886328188803,0.0304416459768692,TRUE,-0.169839779291899
"8","bfl.us","Grassland_Extr","Extr",-0.0578519368663638,3,0.49369095598122,0.285032606332241,-1.28424825856938,1.16854438483666,TRUE,-0.599110538633562
"9","biddulph.ca","Grassland_NotExtreme","NotExtreme",-0.761396705134586,3,0.818427619556802,0.472519406463344,-2.79448361921369,1.27169020894452,TRUE,-0.791421749828286
"10","bldrdrt.us","Grassland_Extr","Extr",-0.431409307809037,6,0.362737057023737,0.148086783417833,-0.812078503360729,-0.0507401122573457,FALSE,-0.947007704536216
"11","brokenh.au","Grassland_Extr","Extr",-1.66526288146885,2,0,0,-1.66526288146885,-1.66526288146885,FALSE,-1.67344324241001
"12","brookdale.ca","Grassland_Extr","Extr",-0.0133498087006588,5,0.171923732289485,0.0768866304689527,-0.226821317521334,0.200121700120016,TRUE,-0.496758366554555
"13","capmcd.us","Shrubland_NotExtreme","NotExtreme",0.0810722909494108,7,0.331220066690031,0.125189417956579,-0.225255179486482,0.387399761385304,TRUE,-1.67557771493865
"14","capwhite.us","Shrubland_NotExtreme","NotExtreme",-1.4400997474864,7,0.98546085973523,0.372469194521046,-2.35149903374637,-0.528700461226435,FALSE,-2.03332160606628
"15","cedarsav.us","Grassland_NotExtreme","NotExtreme",-0.34270678008246,5,0.350415504998724,0.156710577909413,-0.777805097051766,0.0923915368868459,TRUE,-0.174353387144778
"16","cedartrait.us","Grassland_NotExtreme","NotExtreme",-0.447648265944184,5,0.565939164747831,0.253095688701121,-1.15035455198508,0.255058020096707,TRUE,-0.177692288410292
"17","cerrillos.ar","Shrubland_Extr","Extr",-0.576552336199055,3,0.340973870790396,0.196861356087464,-1.42357838735096,0.270473714952852,TRUE,-1.3991769869509
"18","chacra.ar","Shrubland_NotExtreme","NotExtreme",-0.107679126474653,3,0.264095651255048,0.152475695343912,-0.763729093266581,0.548370840317275,TRUE,-1.26904480106965
"19","chang.cn","Grassland_NotExtreme","NotExtreme",-0.828952533462783,4,0.284096553277451,0.142048276638726,-1.28101354662361,-0.376891520301952,FALSE,-0.693147180559945
"20","charleville.au","Grassland_Extr","Extr",-0.231049059239858,3,0.400188712104259,0.231049060660044,-1.22517293079484,0.763074812315128,TRUE,-1.23580752784595
"21","chilcasdrt.ar","Grassland_Extr","Extr",-0.313814934791096,3,0.134735404399481,0.0777895219994137,-0.64851623396778,0.0208863643855867,TRUE,-0.311565012915113
"22","ciempoz.es","Shrubland_Extr","Extr",0.206551601603776,7,0.710849918241893,0.268676014736949,-0.450874922974466,0.863978126182018,TRUE,-0.980562621894295
"23","cobar.au","Grassland_Extr","Extr",-0.847874579618342,3,0.98167056097815,0.566767762636266,-3.28647944065927,1.59073028142258,TRUE,-1.41140706193497
"24","cowidrt.ca","Grassland_NotExtreme","NotExtreme",-0.374509427100429,5,0.582215397249895,0.260374641159562,-1.09742532506553,0.348406470864668,TRUE,0.438125890347713
"25","credoj.au","Shrubland_NotExtreme","NotExtreme",-0.447182182771994,5,0.414833568967046,0.185519211911832,-0.962266090604753,0.0679017250607653,TRUE,-1.76026080216868
"26","credom.au","Shrubland_NotExtreme","NotExtreme",-0.306307877513329,5,0.121791680033915,0.0544668951299476,-0.457532221892194,-0.155083533134465,FALSE,-1.76026080216868
